Genoma 150, Vitórias X: 66, Vitórias O: 69, Draws: 15
Genoma 70979, Vitórias X: 34, Vitórias O: 59, Draws: 7
Genoma 71073, Vitórias X: 46, Vitórias O: 48, Draws: 6
Genoma 71167, Vitórias X: 50, Vitórias O: 45, Draws: 5
Genoma 71261, Vitórias X: 36, Vitórias O: 60, Draws: 4
Genoma 71355, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 71449, Vitórias X: 43, Vitórias O: 53, Draws: 4
Genoma 71543, Vitórias X: 39, Vitórias O: 52, Draws: 9
Genoma 71637, Vitórias X: 44, Vitórias O: 50, Draws: 6
Genoma 71731, Vitórias X: 51, Vitórias O: 46, Draws: 3
Genoma 71825, Vitórias X: 39, Vitórias O: 57, Draws: 4
Genoma 71919, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 72013, Vitórias X: 47, Vitórias O: 46, Draws: 7
Genoma 72107, Vitórias X: 38, Vitórias O: 54, Draws: 8
Genoma 72201, Vitórias X: 41, Vitórias O: 55, Draws: 4
Genoma 72295, Vitórias X: 49, Vitórias O: 46, Draws: 5
Genoma 72389, Vitórias X: 36, Vitórias O: 55, Draws: 9
Genoma 72483, Vitórias X: 29, Vitórias O: 65, Draws: 6
Genoma 72577, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 72671, Vitórias X: 38, Vitórias O: 51, Draws: 11
Genoma 72765, Vitórias X: 55, Vitórias O: 42, Draws: 3
Genoma 72859, Vitórias X: 40, Vitórias O: 52, Draws: 8
Genoma 72953, Vitórias X: 43, Vitórias O: 52, Draws: 5
Genoma 73047, Vitórias X: 44, Vitórias O: 52, Draws: 4
Genoma 73141, Vitórias X: 34, Vitórias O: 58, Draws: 8
Genoma 73235, Vitórias X: 31, Vitórias O: 59, Draws: 10
Genoma 73329, Vitórias X: 39, Vitórias O: 54, Draws: 7
Genoma 73423, Vitórias X: 41, Vitórias O: 54, Draws: 5
Genoma 73517, Vitórias X: 31, Vitórias O: 61, Draws: 8
Genoma 73611, Vitórias X: 36, Vitórias O: 57, Draws: 7
Genoma 73705, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 73799, Vitórias X: 40, Vitórias O: 55, Draws: 5
Genoma 73893, Vitórias X: 37, Vitórias O: 54, Draws: 9
Genoma 73987, Vitórias X: 38, Vitórias O: 57, Draws: 5
Genoma 74081, Vitórias X: 40, Vitórias O: 49, Draws: 11
Genoma 74175, Vitórias X: 30, Vitórias O: 62, Draws: 8
Genoma 74269, Vitórias X: 36, Vitórias O: 59, Draws: 5
Genoma 74363, Vitórias X: 50, Vitórias O: 44, Draws: 6
Genoma 74457, Vitórias X: 49, Vitórias O: 42, Draws: 9
Genoma 74551, Vitórias X: 40, Vitórias O: 55, Draws: 5
Genoma 74645, Vitórias X: 31, Vitórias O: 62, Draws: 7
Genoma 74739, Vitórias X: 39, Vitórias O: 51, Draws: 10
Genoma 74833, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 74927, Vitórias X: 43, Vitórias O: 56, Draws: 1
Genoma 75021, Vitórias X: 41, Vitórias O: 52, Draws: 7
Genoma 75115, Vitórias X: 41, Vitórias O: 56, Draws: 3
Genoma 75209, Vitórias X: 40, Vitórias O: 56, Draws: 4
Genoma 75303, Vitórias X: 43, Vitórias O: 54, Draws: 3
Genoma 75397, Vitórias X: 47, Vitórias O: 50, Draws: 3
Genoma 75491, Vitórias X: 46, Vitórias O: 50, Draws: 4
Genoma 75585, Vitórias X: 35, Vitórias O: 56, Draws: 9
Genoma 75679, Vitórias X: 42, Vitórias O: 53, Draws: 5
Genoma 75773, Vitórias X: 40, Vitórias O: 53, Draws: 7
Genoma 75867, Vitórias X: 46, Vitórias O: 47, Draws: 7
Genoma 75961, Vitórias X: 39, Vitórias O: 52, Draws: 9
Genoma 76055, Vitórias X: 34, Vitórias O: 61, Draws: 5
Genoma 76149, Vitórias X: 42, Vitórias O: 50, Draws: 8
Genoma 76243, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 76337, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 76431, Vitórias X: 42, Vitórias O: 55, Draws: 3
Genoma 76525, Vitórias X: 36, Vitórias O: 55, Draws: 9
Genoma 76619, Vitórias X: 34, Vitórias O: 58, Draws: 8
Genoma 76713, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 76807, Vitórias X: 45, Vitórias O: 52, Draws: 3
Genoma 76901, Vitórias X: 37, Vitórias O: 56, Draws: 7
Genoma 76995, Vitórias X: 36, Vitórias O: 56, Draws: 8
Genoma 77089, Vitórias X: 38, Vitórias O: 58, Draws: 4
Genoma 77183, Vitórias X: 40, Vitórias O: 54, Draws: 6
Genoma 77277, Vitórias X: 40, Vitórias O: 51, Draws: 9
Genoma 77371, Vitórias X: 48, Vitórias O: 48, Draws: 4
Genoma 77465, Vitórias X: 41, Vitórias O: 55, Draws: 4
Genoma 77559, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 77653, Vitórias X: 38, Vitórias O: 58, Draws: 4
Genoma 77747, Vitórias X: 35, Vitórias O: 58, Draws: 7
Genoma 77841, Vitórias X: 34, Vitórias O: 56, Draws: 10
Genoma 77935, Vitórias X: 35, Vitórias O: 56, Draws: 9
Genoma 78029, Vitórias X: 42, Vitórias O: 53, Draws: 5
Genoma 78123, Vitórias X: 47, Vitórias O: 44, Draws: 9
Genoma 78217, Vitórias X: 32, Vitórias O: 58, Draws: 10
Genoma 78311, Vitórias X: 49, Vitórias O: 46, Draws: 5
Genoma 78405, Vitórias X: 43, Vitórias O: 52, Draws: 5
Genoma 78499, Vitórias X: 38, Vitórias O: 49, Draws: 13
Genoma 78593, Vitórias X: 39, Vitórias O: 59, Draws: 2
Genoma 78687, Vitórias X: 46, Vitórias O: 50, Draws: 4
Genoma 78781, Vitórias X: 37, Vitórias O: 58, Draws: 5
Genoma 78875, Vitórias X: 38, Vitórias O: 55, Draws: 7
Genoma 78969, Vitórias X: 43, Vitórias O: 50, Draws: 7
Genoma 79063, Vitórias X: 36, Vitórias O: 60, Draws: 4
Genoma 79157, Vitórias X: 43, Vitórias O: 53, Draws: 4
Genoma 79251, Vitórias X: 44, Vitórias O: 49, Draws: 7
Genoma 79345, Vitórias X: 37, Vitórias O: 57, Draws: 6
Genoma 79439, Vitórias X: 37, Vitórias O: 55, Draws: 8
Genoma 79533, Vitórias X: 46, Vitórias O: 47, Draws: 7
Genoma 79627, Vitórias X: 42, Vitórias O: 53, Draws: 5
Genoma 79721, Vitórias X: 37, Vitórias O: 53, Draws: 10
Genoma 79815, Vitórias X: 32, Vitórias O: 64, Draws: 4
Genoma 79909, Vitórias X: 40, Vitórias O: 51, Draws: 9
Genoma 80003, Vitórias X: 37, Vitórias O: 57, Draws: 6
Genoma 80097, Vitórias X: 35, Vitórias O: 57, Draws: 8
Genoma 80191, Vitórias X: 37, Vitórias O: 53, Draws: 10
Genoma 80285, Vitórias X: 38, Vitórias O: 58, Draws: 4
Genoma 80379, Vitórias X: 31, Vitórias O: 65, Draws: 4
Genoma 80473, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 80567, Vitórias X: 45, Vitórias O: 46, Draws: 9
Genoma 80661, Vitórias X: 40, Vitórias O: 55, Draws: 5
Genoma 80755, Vitórias X: 45, Vitórias O: 46, Draws: 9
Genoma 80849, Vitórias X: 39, Vitórias O: 58, Draws: 3
Genoma 80943, Vitórias X: 44, Vitórias O: 50, Draws: 6
Genoma 81037, Vitórias X: 35, Vitórias O: 58, Draws: 7
Genoma 81131, Vitórias X: 52, Vitórias O: 44, Draws: 4
Genoma 81225, Vitórias X: 38, Vitórias O: 54, Draws: 8
Genoma 81319, Vitórias X: 32, Vitórias O: 63, Draws: 5
Genoma 81413, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 81507, Vitórias X: 33, Vitórias O: 58, Draws: 9
Genoma 81601, Vitórias X: 47, Vitórias O: 47, Draws: 6
Genoma 81695, Vitórias X: 40, Vitórias O: 57, Draws: 3
Genoma 81789, Vitórias X: 40, Vitórias O: 55, Draws: 5
Genoma 81883, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 81977, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 82071, Vitórias X: 48, Vitórias O: 47, Draws: 5
Genoma 82165, Vitórias X: 45, Vitórias O: 48, Draws: 7
Genoma 82259, Vitórias X: 38, Vitórias O: 54, Draws: 8
Genoma 82353, Vitórias X: 45, Vitórias O: 49, Draws: 6
Genoma 82447, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 82541, Vitórias X: 45, Vitórias O: 52, Draws: 3
Genoma 82635, Vitórias X: 40, Vitórias O: 51, Draws: 9
Genoma 82729, Vitórias X: 48, Vitórias O: 47, Draws: 5
Genoma 82823, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 82917, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 83011, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 83105, Vitórias X: 32, Vitórias O: 60, Draws: 8
Genoma 83199, Vitórias X: 45, Vitórias O: 50, Draws: 5
Genoma 83293, Vitórias X: 45, Vitórias O: 52, Draws: 3
Genoma 83387, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 83481, Vitórias X: 41, Vitórias O: 52, Draws: 7
Genoma 83575, Vitórias X: 50, Vitórias O: 46, Draws: 4
Genoma 83669, Vitórias X: 47, Vitórias O: 48, Draws: 5
Genoma 83763, Vitórias X: 40, Vitórias O: 54, Draws: 6
Genoma 83857, Vitórias X: 44, Vitórias O: 51, Draws: 5
Genoma 83951, Vitórias X: 42, Vitórias O: 48, Draws: 10
Genoma 84045, Vitórias X: 33, Vitórias O: 61, Draws: 6
Genoma 84139, Vitórias X: 45, Vitórias O: 52, Draws: 3
Genoma 84233, Vitórias X: 42, Vitórias O: 53, Draws: 5
Genoma 84327, Vitórias X: 34, Vitórias O: 61, Draws: 5
Genoma 84421, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 84515, Vitórias X: 44, Vitórias O: 52, Draws: 4
Genoma 84609, Vitórias X: 31, Vitórias O: 60, Draws: 9
Genoma 84703, Vitórias X: 37, Vitórias O: 54, Draws: 9
Genoma 84797, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 84891, Vitórias X: 37, Vitórias O: 58, Draws: 5
Genoma 84985, Vitórias X: 45, Vitórias O: 50, Draws: 5
Genoma 85079, Vitórias X: 41, Vitórias O: 57, Draws: 2
Genoma 85173, Vitórias X: 50, Vitórias O: 44, Draws: 6
Genoma 85267, Vitórias X: 42, Vitórias O: 56, Draws: 2
Genoma 85361, Vitórias X: 43, Vitórias O: 53, Draws: 4
Genoma 85455, Vitórias X: 33, Vitórias O: 63, Draws: 4
Genoma 85549, Vitórias X: 37, Vitórias O: 58, Draws: 5
Genoma 85643, Vitórias X: 37, Vitórias O: 60, Draws: 3
Genoma 85737, Vitórias X: 39, Vitórias O: 56, Draws: 5
Genoma 85831, Vitórias X: 33, Vitórias O: 62, Draws: 5
Genoma 85925, Vitórias X: 36, Vitórias O: 55, Draws: 9
Genoma 86019, Vitórias X: 43, Vitórias O: 55, Draws: 2
Genoma 86113, Vitórias X: 34, Vitórias O: 58, Draws: 8
Genoma 86207, Vitórias X: 44, Vitórias O: 51, Draws: 5
Genoma 86301, Vitórias X: 37, Vitórias O: 58, Draws: 5
Genoma 86395, Vitórias X: 41, Vitórias O: 50, Draws: 9
Genoma 86489, Vitórias X: 46, Vitórias O: 53, Draws: 1
Genoma 86583, Vitórias X: 42, Vitórias O: 54, Draws: 4
Genoma 86677, Vitórias X: 41, Vitórias O: 55, Draws: 4
Genoma 86771, Vitórias X: 36, Vitórias O: 59, Draws: 5
Genoma 86865, Vitórias X: 51, Vitórias O: 45, Draws: 4
Genoma 86959, Vitórias X: 39, Vitórias O: 54, Draws: 7
Genoma 87053, Vitórias X: 48, Vitórias O: 48, Draws: 4
Genoma 87147, Vitórias X: 41, Vitórias O: 54, Draws: 5
Genoma 87241, Vitórias X: 40, Vitórias O: 56, Draws: 4
Genoma 87335, Vitórias X: 31, Vitórias O: 64, Draws: 5
Genoma 87429, Vitórias X: 42, Vitórias O: 50, Draws: 8
Genoma 87523, Vitórias X: 43, Vitórias O: 54, Draws: 3
Genoma 87617, Vitórias X: 46, Vitórias O: 52, Draws: 2
Genoma 87711, Vitórias X: 31, Vitórias O: 59, Draws: 10
Genoma 87805, Vitórias X: 36, Vitórias O: 58, Draws: 6
Genoma 87899, Vitórias X: 28, Vitórias O: 64, Draws: 8
Genoma 87993, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 88087, Vitórias X: 44, Vitórias O: 48, Draws: 8
Genoma 88181, Vitórias X: 37, Vitórias O: 58, Draws: 5
Genoma 88275, Vitórias X: 33, Vitórias O: 65, Draws: 2
Genoma 88369, Vitórias X: 32, Vitórias O: 63, Draws: 5
Genoma 88463, Vitórias X: 31, Vitórias O: 62, Draws: 7
Genoma 88557, Vitórias X: 39, Vitórias O: 58, Draws: 3
Genoma 88651, Vitórias X: 37, Vitórias O: 59, Draws: 4
Genoma 88745, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 88839, Vitórias X: 41, Vitórias O: 54, Draws: 5
Genoma 88933, Vitórias X: 36, Vitórias O: 58, Draws: 6
Genoma 89027, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 89121, Vitórias X: 38, Vitórias O: 59, Draws: 3
Genoma 89215, Vitórias X: 29, Vitórias O: 64, Draws: 7
Genoma 89309, Vitórias X: 30, Vitórias O: 63, Draws: 7
Genoma 89403, Vitórias X: 35, Vitórias O: 63, Draws: 2
Genoma 89497, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 89591, Vitórias X: 38, Vitórias O: 59, Draws: 3
Genoma 89685, Vitórias X: 49, Vitórias O: 48, Draws: 3
Genoma 89779, Vitórias X: 30, Vitórias O: 63, Draws: 7
Genoma 89873, Vitórias X: 32, Vitórias O: 62, Draws: 6
Genoma 89967, Vitórias X: 39, Vitórias O: 58, Draws: 3
Genoma 90061, Vitórias X: 41, Vitórias O: 56, Draws: 3
Genoma 90155, Vitórias X: 30, Vitórias O: 58, Draws: 12
Genoma 90249, Vitórias X: 45, Vitórias O: 47, Draws: 8
Genoma 90343, Vitórias X: 29, Vitórias O: 63, Draws: 8
Genoma 90437, Vitórias X: 36, Vitórias O: 58, Draws: 6
Genoma 90531, Vitórias X: 34, Vitórias O: 60, Draws: 6
Genoma 90625, Vitórias X: 32, Vitórias O: 63, Draws: 5
Genoma 90719, Vitórias X: 38, Vitórias O: 57, Draws: 5
Genoma 90813, Vitórias X: 37, Vitórias O: 57, Draws: 6
Genoma 90907, Vitórias X: 36, Vitórias O: 60, Draws: 4
Genoma 91001, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 91095, Vitórias X: 33, Vitórias O: 59, Draws: 8
Genoma 91189, Vitórias X: 39, Vitórias O: 58, Draws: 3
Genoma 91283, Vitórias X: 36, Vitórias O: 57, Draws: 7
Genoma 91377, Vitórias X: 40, Vitórias O: 51, Draws: 9
Genoma 91471, Vitórias X: 36, Vitórias O: 59, Draws: 5
Genoma 91565, Vitórias X: 38, Vitórias O: 58, Draws: 4
Genoma 91659, Vitórias X: 40, Vitórias O: 56, Draws: 4
Genoma 91753, Vitórias X: 33, Vitórias O: 60, Draws: 7
Genoma 91847, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 91941, Vitórias X: 34, Vitórias O: 65, Draws: 1
Genoma 92035, Vitórias X: 40, Vitórias O: 54, Draws: 6
Genoma 92129, Vitórias X: 34, Vitórias O: 59, Draws: 7
Genoma 92223, Vitórias X: 43, Vitórias O: 53, Draws: 4
Genoma 92317, Vitórias X: 38, Vitórias O: 58, Draws: 4
Genoma 92411, Vitórias X: 46, Vitórias O: 49, Draws: 5
Genoma 92505, Vitórias X: 33, Vitórias O: 55, Draws: 12
Genoma 92599, Vitórias X: 38, Vitórias O: 59, Draws: 3
Genoma 92693, Vitórias X: 41, Vitórias O: 55, Draws: 4
Genoma 92787, Vitórias X: 37, Vitórias O: 61, Draws: 2
Genoma 92881, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 92975, Vitórias X: 35, Vitórias O: 60, Draws: 5
Genoma 93069, Vitórias X: 41, Vitórias O: 57, Draws: 2
Genoma 93163, Vitórias X: 51, Vitórias O: 42, Draws: 7
Genoma 93257, Vitórias X: 53, Vitórias O: 43, Draws: 4
Genoma 93351, Vitórias X: 38, Vitórias O: 57, Draws: 5
Genoma 93445, Vitórias X: 35, Vitórias O: 60, Draws: 5
Genoma 93539, Vitórias X: 32, Vitórias O: 61, Draws: 7
Genoma 93633, Vitórias X: 42, Vitórias O: 54, Draws: 4
Genoma 93727, Vitórias X: 44, Vitórias O: 52, Draws: 4
Genoma 93821, Vitórias X: 39, Vitórias O: 50, Draws: 11
Genoma 93915, Vitórias X: 38, Vitórias O: 60, Draws: 2
Genoma 94009, Vitórias X: 43, Vitórias O: 50, Draws: 7
Genoma 94103, Vitórias X: 44, Vitórias O: 53, Draws: 3
Genoma 94197, Vitórias X: 38, Vitórias O: 59, Draws: 3
Genoma 94291, Vitórias X: 44, Vitórias O: 49, Draws: 7
Genoma 94385, Vitórias X: 38, Vitórias O: 49, Draws: 13
Genoma 94479, Vitórias X: 46, Vitórias O: 48, Draws: 6
Genoma 94573, Vitórias X: 29, Vitórias O: 67, Draws: 4
Genoma 94667, Vitórias X: 41, Vitórias O: 55, Draws: 4
Genoma 94761, Vitórias X: 35, Vitórias O: 61, Draws: 4
Genoma 94855, Vitórias X: 34, Vitórias O: 58, Draws: 8
Genoma 94949, Vitórias X: 43, Vitórias O: 49, Draws: 8
Genoma 95043, Vitórias X: 36, Vitórias O: 58, Draws: 6
Genoma 95137, Vitórias X: 41, Vitórias O: 56, Draws: 3
Genoma 95231, Vitórias X: 40, Vitórias O: 58, Draws: 2
Genoma 95325, Vitórias X: 35, Vitórias O: 60, Draws: 5
Genoma 95419, Vitórias X: 34, Vitórias O: 61, Draws: 5
Genoma 95513, Vitórias X: 44, Vitórias O: 54, Draws: 2
Genoma 95607, Vitórias X: 39, Vitórias O: 59, Draws: 2
Genoma 95701, Vitórias X: 33, Vitórias O: 58, Draws: 9
Genoma 95795, Vitórias X: 41, Vitórias O: 57, Draws: 2
Genoma 95889, Vitórias X: 37, Vitórias O: 54, Draws: 9
Genoma 95983, Vitórias X: 41, Vitórias O: 54, Draws: 5
Genoma 96077, Vitórias X: 42, Vitórias O: 51, Draws: 7
Genoma 96171, Vitórias X: 25, Vitórias O: 66, Draws: 9
Genoma 96265, Vitórias X: 36, Vitórias O: 57, Draws: 7
Genoma 96359, Vitórias X: 41, Vitórias O: 51, Draws: 8
Genoma 96453, Vitórias X: 37, Vitórias O: 55, Draws: 8
Genoma 96547, Vitórias X: 38, Vitórias O: 57, Draws: 5
Genoma 96641, Vitórias X: 37, Vitórias O: 51, Draws: 12
Genoma 96735, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 96829, Vitórias X: 35, Vitórias O: 63, Draws: 2
Genoma 96923, Vitórias X: 39, Vitórias O: 51, Draws: 10
Genoma 97017, Vitórias X: 41, Vitórias O: 51, Draws: 8
Genoma 97111, Vitórias X: 48, Vitórias O: 49, Draws: 3
Genoma 97205, Vitórias X: 44, Vitórias O: 52, Draws: 4
Genoma 97299, Vitórias X: 41, Vitórias O: 54, Draws: 5
Genoma 97393, Vitórias X: 31, Vitórias O: 65, Draws: 4
Genoma 97487, Vitórias X: 44, Vitórias O: 51, Draws: 5
Genoma 97581, Vitórias X: 34, Vitórias O: 64, Draws: 2
Genoma 97675, Vitórias X: 25, Vitórias O: 70, Draws: 5
Genoma 97769, Vitórias X: 37, Vitórias O: 58, Draws: 5
Genoma 97863, Vitórias X: 40, Vitórias O: 54, Draws: 6
Genoma 97957, Vitórias X: 35, Vitórias O: 56, Draws: 9
Genoma 98051, Vitórias X: 47, Vitórias O: 47, Draws: 6
Genoma 98145, Vitórias X: 41, Vitórias O: 52, Draws: 7
Genoma 98239, Vitórias X: 38, Vitórias O: 55, Draws: 7
Genoma 98333, Vitórias X: 41, Vitórias O: 54, Draws: 5
Genoma 98427, Vitórias X: 40, Vitórias O: 54, Draws: 6
Genoma 98521, Vitórias X: 45, Vitórias O: 54, Draws: 1
Genoma 98615, Vitórias X: 29, Vitórias O: 64, Draws: 7
Genoma 98709, Vitórias X: 40, Vitórias O: 56, Draws: 4
Genoma 98803, Vitórias X: 31, Vitórias O: 61, Draws: 8
Genoma 98897, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 98991, Vitórias X: 39, Vitórias O: 54, Draws: 7
Genoma 99085, Vitórias X: 35, Vitórias O: 60, Draws: 5
Genoma 99179, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 99273, Vitórias X: 34, Vitórias O: 58, Draws: 8
Genoma 99367, Vitórias X: 37, Vitórias O: 58, Draws: 5
Genoma 99461, Vitórias X: 36, Vitórias O: 57, Draws: 7
Genoma 99555, Vitórias X: 41, Vitórias O: 54, Draws: 5
Genoma 99649, Vitórias X: 37, Vitórias O: 59, Draws: 4
Genoma 99743, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 99837, Vitórias X: 42, Vitórias O: 49, Draws: 9
Genoma 99931, Vitórias X: 43, Vitórias O: 54, Draws: 3
Genoma 100025, Vitórias X: 43, Vitórias O: 49, Draws: 8
Genoma 100119, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 100213, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 100307, Vitórias X: 34, Vitórias O: 60, Draws: 6
Genoma 100401, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 100495, Vitórias X: 43, Vitórias O: 50, Draws: 7
Genoma 100589, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 100683, Vitórias X: 33, Vitórias O: 63, Draws: 4
Genoma 100777, Vitórias X: 35, Vitórias O: 58, Draws: 7
Genoma 100871, Vitórias X: 36, Vitórias O: 55, Draws: 9
Genoma 100965, Vitórias X: 35, Vitórias O: 57, Draws: 8
Genoma 101059, Vitórias X: 45, Vitórias O: 48, Draws: 7
Genoma 101153, Vitórias X: 36, Vitórias O: 60, Draws: 4
Genoma 101247, Vitórias X: 41, Vitórias O: 58, Draws: 1
Genoma 101341, Vitórias X: 44, Vitórias O: 49, Draws: 7
Genoma 101435, Vitórias X: 36, Vitórias O: 52, Draws: 12
Genoma 101529, Vitórias X: 42, Vitórias O: 54, Draws: 4
Genoma 101623, Vitórias X: 46, Vitórias O: 51, Draws: 3
Genoma 101717, Vitórias X: 43, Vitórias O: 46, Draws: 11
Genoma 101811, Vitórias X: 36, Vitórias O: 59, Draws: 5
Genoma 101905, Vitórias X: 35, Vitórias O: 60, Draws: 5
Genoma 101999, Vitórias X: 38, Vitórias O: 54, Draws: 8
Genoma 102093, Vitórias X: 39, Vitórias O: 50, Draws: 11
Genoma 102187, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 102281, Vitórias X: 40, Vitórias O: 51, Draws: 9
Genoma 102375, Vitórias X: 42, Vitórias O: 53, Draws: 5
Genoma 102469, Vitórias X: 42, Vitórias O: 51, Draws: 7
Genoma 102563, Vitórias X: 29, Vitórias O: 63, Draws: 8
Genoma 102657, Vitórias X: 24, Vitórias O: 69, Draws: 7
Genoma 102751, Vitórias X: 45, Vitórias O: 50, Draws: 5
Genoma 102845, Vitórias X: 41, Vitórias O: 51, Draws: 8
Genoma 102939, Vitórias X: 40, Vitórias O: 54, Draws: 6
Genoma 103033, Vitórias X: 40, Vitórias O: 50, Draws: 10
Genoma 103127, Vitórias X: 36, Vitórias O: 61, Draws: 3
Genoma 103221, Vitórias X: 33, Vitórias O: 67, Draws: 0
Genoma 103315, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 103409, Vitórias X: 30, Vitórias O: 64, Draws: 6
Genoma 103503, Vitórias X: 39, Vitórias O: 56, Draws: 5
Genoma 103597, Vitórias X: 42, Vitórias O: 55, Draws: 3
Genoma 103691, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 103785, Vitórias X: 40, Vitórias O: 56, Draws: 4
Genoma 103879, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 103973, Vitórias X: 52, Vitórias O: 46, Draws: 2
Genoma 104067, Vitórias X: 40, Vitórias O: 55, Draws: 5
Genoma 104161, Vitórias X: 43, Vitórias O: 50, Draws: 7
Genoma 104255, Vitórias X: 45, Vitórias O: 50, Draws: 5
Genoma 104349, Vitórias X: 37, Vitórias O: 52, Draws: 11
Genoma 104443, Vitórias X: 39, Vitórias O: 60, Draws: 1
Genoma 104537, Vitórias X: 42, Vitórias O: 48, Draws: 10
Genoma 104631, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 104725, Vitórias X: 33, Vitórias O: 62, Draws: 5
Genoma 104819, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 104913, Vitórias X: 52, Vitórias O: 43, Draws: 5
Genoma 105007, Vitórias X: 28, Vitórias O: 66, Draws: 6
Genoma 105101, Vitórias X: 28, Vitórias O: 64, Draws: 8
Genoma 105195, Vitórias X: 44, Vitórias O: 47, Draws: 9
Genoma 105289, Vitórias X: 39, Vitórias O: 56, Draws: 5
Genoma 105383, Vitórias X: 45, Vitórias O: 49, Draws: 6
Genoma 105477, Vitórias X: 43, Vitórias O: 48, Draws: 9
Genoma 105571, Vitórias X: 43, Vitórias O: 53, Draws: 4
Genoma 105665, Vitórias X: 43, Vitórias O: 52, Draws: 5
Genoma 105759, Vitórias X: 43, Vitórias O: 50, Draws: 7
Genoma 105853, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 105947, Vitórias X: 33, Vitórias O: 61, Draws: 6
Genoma 106041, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 106135, Vitórias X: 34, Vitórias O: 59, Draws: 7
Genoma 106229, Vitórias X: 31, Vitórias O: 58, Draws: 11
Genoma 106323, Vitórias X: 43, Vitórias O: 50, Draws: 7
Genoma 106417, Vitórias X: 36, Vitórias O: 56, Draws: 8
Genoma 106511, Vitórias X: 44, Vitórias O: 48, Draws: 8
Genoma 106605, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 106699, Vitórias X: 37, Vitórias O: 57, Draws: 6
Genoma 106793, Vitórias X: 34, Vitórias O: 58, Draws: 8
Genoma 106887, Vitórias X: 33, Vitórias O: 59, Draws: 8
Genoma 106981, Vitórias X: 45, Vitórias O: 50, Draws: 5
Genoma 107075, Vitórias X: 39, Vitórias O: 56, Draws: 5
Genoma 107169, Vitórias X: 37, Vitórias O: 59, Draws: 4
Genoma 107263, Vitórias X: 40, Vitórias O: 54, Draws: 6
Genoma 107357, Vitórias X: 35, Vitórias O: 56, Draws: 9
Genoma 107451, Vitórias X: 39, Vitórias O: 59, Draws: 2
Genoma 107545, Vitórias X: 47, Vitórias O: 47, Draws: 6
Genoma 107639, Vitórias X: 39, Vitórias O: 53, Draws: 8
Genoma 107733, Vitórias X: 32, Vitórias O: 58, Draws: 10
Genoma 107827, Vitórias X: 43, Vitórias O: 53, Draws: 4
Genoma 107921, Vitórias X: 36, Vitórias O: 59, Draws: 5
Genoma 108015, Vitórias X: 39, Vitórias O: 56, Draws: 5
Genoma 108109, Vitórias X: 40, Vitórias O: 58, Draws: 2
Genoma 108203, Vitórias X: 38, Vitórias O: 59, Draws: 3
Genoma 108297, Vitórias X: 37, Vitórias O: 54, Draws: 9
Genoma 108391, Vitórias X: 42, Vitórias O: 51, Draws: 7
